Rnd;ideologia_cat;isola_dummy;n;prop
1a. rodada;Esquerda;Negativa; 146;0,13581395
1a. rodada;Esquerda;Neutra;  43;0,04000000
1a. rodada;Esquerda;Positiva; 886;0,82418605
1a. rodada;Centro.Esquerda;Negativa;  69;0,05369650
1a. rodada;Centro.Esquerda;Neutra;  31;0,02412451
1a. rodada;Centro.Esquerda;Positiva;1185;0,92217899
1a. rodada;Centro;Negativa; 368;0,12633024
1a. rodada;Centro;Neutra; 113;0,03879162
1a. rodada;Centro;Positiva;2432;0,83487813
1a. rodada;Centro.Direita;Negativa; 404;0,29467542
1a. rodada;Centro.Direita;Neutra;  63;0,04595186
1a. rodada;Centro.Direita;Positiva; 904;0,65937272
1a. rodada;Direita;Negativa; 501;0,41611296
1a. rodada;Direita;Neutra;  63;0,05232558
1a. rodada;Direita;Positiva; 640;0,53156146
2a. rodada;Esquerda;Negativa; 273;0,25138122
2a. rodada;Esquerda;Neutra; 366;0,33701657
2a. rodada;Esquerda;Positiva; 447;0,41160221
2a. rodada;Centro.Esquerda;Negativa; 257;0,18124118
2a. rodada;Centro.Esquerda;Neutra; 434;0,30606488
2a. rodada;Centro.Esquerda;Positiva; 727;0,51269394
2a. rodada;Centro;Negativa; 683;0,26148545
2a. rodada;Centro;Neutra; 688;0,26339969
2a. rodada;Centro;Positiva;1241;0,47511485
2a. rodada;Centro.Direita;Negativa; 344;0,32981783
2a. rodada;Centro.Direita;Neutra; 238;0,22818792
2a. rodada;Centro.Direita;Positiva; 461;0,44199425
2a. rodada;Direita;Negativa; 449;0,53966346
2a. rodada;Direita;Neutra; 154;0,18509615
2a. rodada;Direita;Positiva; 229;0,27524038
