Conservador;Liberal;voto_bolsonaro;prop
 1,000; 2,000;Só votaria em Bolsonaro se o opositor fosse de esquerda ou do PT;(40%)
 1,500; 1,500;Votará em Bolsonaro provavelmente ou com certeza;(38%)
 0,875; 2,125;Só votaria em Bolsonaro se o opositor fosse de esquerda ou do PT;(40%)
-0,375; 0,125;Só votaria em Bolsonaro se o opositor fosse de esquerda ou do PT;(40%)
-2,500; 0,000;Não votaria de jeito nenhum em Bolsonaro;(22%)
 1,750; 1,000;Só votaria em Bolsonaro se o opositor fosse de esquerda ou do PT;(40%)
-1,875; 1,375;Não votaria de jeito nenhum em Bolsonaro;(22%)
 2,250; 1,750;Votará em Bolsonaro provavelmente ou com certeza;(38%)
 1,125; 1,125;Só votaria em Bolsonaro se o opositor fosse de esquerda ou do PT;(40%)
 1,750; 0,500;Votará em Bolsonaro provavelmente ou com certeza;(38%)
 2,500; 2,500;Votará em Bolsonaro provavelmente ou com certeza;(38%)
 0,375; 0,375;Não votaria de jeito nenhum em Bolsonaro;(22%)
 0,500; 0,000;Não votaria de jeito nenhum em Bolsonaro;(22%)
 0,250;-0,250;Só votaria em Bolsonaro se o opositor fosse de esquerda ou do PT;(40%)
 1,000; 2,000;Só votaria em Bolsonaro se o opositor fosse de esquerda ou do PT;(40%)
-0,125; 0,125;Só votaria em Bolsonaro se o opositor fosse de esquerda ou do PT;(40%)
 3,375; 1,625;Só votaria em Bolsonaro se o opositor fosse de esquerda ou do PT;(40%)
-2,250;-1,250;Só votaria em Bolsonaro se o opositor fosse de esquerda ou do PT;(40%)
 4,250; 0,750;Votará em Bolsonaro provavelmente ou com certeza;(38%)
 0,375; 1,875;Votará em Bolsonaro provavelmente ou com certeza;(38%)
 0,500;-0,250;Só votaria em Bolsonaro se o opositor fosse de esquerda ou do PT;(40%)
 0,750; 1,250;Só votaria em Bolsonaro se o opositor fosse de esquerda ou do PT;(40%)
 1,875; 1,625;Votará em Bolsonaro provavelmente ou com certeza;(38%)
 1,750; 3,250;Votará em Bolsonaro provavelmente ou com certeza;(38%)
-2,125; 1,625;Só votaria em Bolsonaro se o opositor fosse de esquerda ou do PT;(40%)
 2,250; 2,250;Só votaria em Bolsonaro se o opositor fosse de esquerda ou do PT;(40%)
 0,375; 0,125;Votará em Bolsonaro provavelmente ou com certeza;(38%)
 0,000; 0,500;Não votaria de jeito nenhum em Bolsonaro;(22%)
 3,000; 1,500;Votará em Bolsonaro provavelmente ou com certeza;(38%)
 1,500; 0,250;Votará em Bolsonaro provavelmente ou com certeza;(38%)
 1,375;-0,125;Votará em Bolsonaro provavelmente ou com certeza;(38%)
 2,500; 2,500;Votará em Bolsonaro provavelmente ou com certeza;(38%)
 0,625; 1,375;Votará em Bolsonaro provavelmente ou com certeza;(38%)
 1,375; 1,125;Votará em Bolsonaro provavelmente ou com certeza;(38%)
 2,000; 1,750;Votará em Bolsonaro provavelmente ou com certeza;(38%)
 3,375; 1,625;Só votaria em Bolsonaro se o opositor fosse de esquerda ou do PT;(40%)
 1,875; 1,125;Só votaria em Bolsonaro se o opositor fosse de esquerda ou do PT;(40%)
-0,375; 0,875;Só votaria em Bolsonaro se o opositor fosse de esquerda ou do PT;(40%)
 1,000; 1,750;Só votaria em Bolsonaro se o opositor fosse de esquerda ou do PT;(40%)
 1,750; 1,250;Votará em Bolsonaro provavelmente ou com certeza;(38%)
 0,125;-0,375;Só votaria em Bolsonaro se o opositor fosse de esquerda ou do PT;(40%)
 0,000;-1,000;Votará em Bolsonaro provavelmente ou com certeza;(38%)
 1,250; 1,250;Votará em Bolsonaro provavelmente ou com certeza;(38%)
 0,875; 0,875;Votará em Bolsonaro provavelmente ou com certeza;(38%)
 0,000; 0,250;Só votaria em Bolsonaro se o opositor fosse de esquerda ou do PT;(40%)
 2,250; 2,250;Votará em Bolsonaro provavelmente ou com certeza;(38%)
 0,375;-1,375;Votará em Bolsonaro provavelmente ou com certeza;(38%)
 0,500; 1,250;Votará em Bolsonaro provavelmente ou com certeza;(38%)
 0,625; 2,375;Votará em Bolsonaro provavelmente ou com certeza;(38%)
 0,000; 0,000;Votará em Bolsonaro provavelmente ou com certeza;(38%)
 0,750; 0,500;Votará em Bolsonaro provavelmente ou com certeza;(38%)
-0,250; 0,000;Não votaria de jeito nenhum em Bolsonaro;(22%)
-0,250; 1,000;Não votaria de jeito nenhum em Bolsonaro;(22%)
 0,250; 1,000;Só votaria em Bolsonaro se o opositor fosse de esquerda ou do PT;(40%)
 0,875; 0,125;Só votaria em Bolsonaro se o opositor fosse de esquerda ou do PT;(40%)
 0,750; 0,750;Não votaria de jeito nenhum em Bolsonaro;(22%)
 2,375; 2,125;Votará em Bolsonaro provavelmente ou com certeza;(38%)
 2,500; 0,000;Votará em Bolsonaro provavelmente ou com certeza;(38%)
 2,250; 1,750;Votará em Bolsonaro provavelmente ou com certeza;(38%)
 0,750; 0,250;Votará em Bolsonaro provavelmente ou com certeza;(38%)
 1,500; 1,500;Só votaria em Bolsonaro se o opositor fosse de esquerda ou do PT;(40%)
 0,750; 0,750;Só votaria em Bolsonaro se o opositor fosse de esquerda ou do PT;(40%)
 1,875; 1,875;Votará em Bolsonaro provavelmente ou com certeza;(38%)
 1,125; 0,875;Só votaria em Bolsonaro se o opositor fosse de esquerda ou do PT;(40%)
 0,250; 0,000;Só votaria em Bolsonaro se o opositor fosse de esquerda ou do PT;(40%)
 3,125; 0,875;Votará em Bolsonaro provavelmente ou com certeza;(38%)
 1,750; 3,000;Votará em Bolsonaro provavelmente ou com certeza;(38%)
-0,875;-0,125;Não votaria de jeito nenhum em Bolsonaro;(22%)
 0,250; 0,250;Votará em Bolsonaro provavelmente ou com certeza;(38%)
 2,625;-0,125;Votará em Bolsonaro provavelmente ou com certeza;(38%)
-0,750;-0,500;Só votaria em Bolsonaro se o opositor fosse de esquerda ou do PT;(40%)
 1,000; 2,000;Votará em Bolsonaro provavelmente ou com certeza;(38%)
 0,875; 0,875;Votará em Bolsonaro provavelmente ou com certeza;(38%)
 0,625; 0,875;Só votaria em Bolsonaro se o opositor fosse de esquerda ou do PT;(40%)
 1,500; 3,500;Votará em Bolsonaro provavelmente ou com certeza;(38%)
 1,500; 2,250;Votará em Bolsonaro provavelmente ou com certeza;(38%)
 1,875; 1,125;Votará em Bolsonaro provavelmente ou com certeza;(38%)
 2,250; 1,000;Votará em Bolsonaro provavelmente ou com certeza;(38%)
 0,375; 0,375;Votará em Bolsonaro provavelmente ou com certeza;(38%)
 2,125; 2,125;Votará em Bolsonaro provavelmente ou com certeza;(38%)
 0,375; 0,875;Votará em Bolsonaro provavelmente ou com certeza;(38%)
 1,250; 0,000;Votará em Bolsonaro provavelmente ou com certeza;(38%)
 1,375; 1,625;Só votaria em Bolsonaro se o opositor fosse de esquerda ou do PT;(40%)
 0,000; 1,000;Só votaria em Bolsonaro se o opositor fosse de esquerda ou do PT;(40%)
 1,125; 1,375;Só votaria em Bolsonaro se o opositor fosse de esquerda ou do PT;(40%)
 3,250; 1,250;Votará em Bolsonaro provavelmente ou com certeza;(38%)
-1,250; 1,500;Não votaria de jeito nenhum em Bolsonaro;(22%)
 0,750; 0,750;Só votaria em Bolsonaro se o opositor fosse de esquerda ou do PT;(40%)
 0,625; 0,125;Só votaria em Bolsonaro se o opositor fosse de esquerda ou do PT;(40%)
 1,625; 1,875;Votará em Bolsonaro provavelmente ou com certeza;(38%)
 1,250;-1,250;Votará em Bolsonaro provavelmente ou com certeza;(38%)
 2,500; 2,500;Só votaria em Bolsonaro se o opositor fosse de esquerda ou do PT;(40%)
 2,000; 2,000;Votará em Bolsonaro provavelmente ou com certeza;(38%)
 0,250; 0,500;Não votaria de jeito nenhum em Bolsonaro;(22%)
 0,750; 0,750;Só votaria em Bolsonaro se o opositor fosse de esquerda ou do PT;(40%)
 2,875; 2,125;Só votaria em Bolsonaro se o opositor fosse de esquerda ou do PT;(40%)
 0,125;-0,625;Não votaria de jeito nenhum em Bolsonaro;(22%)
 2,375; 2,375;Votará em Bolsonaro provavelmente ou com certeza;(38%)
 1,500; 2,250;Só votaria em Bolsonaro se o opositor fosse de esquerda ou do PT;(40%)
 3,000; 1,500;Votará em Bolsonaro provavelmente ou com certeza;(38%)
 2,125; 1,375;Votará em Bolsonaro provavelmente ou com certeza;(38%)
-0,125; 0,375;Não votaria de jeito nenhum em Bolsonaro;(22%)
 1,750; 1,250;Votará em Bolsonaro provavelmente ou com certeza;(38%)
 1,125; 1,625;Não votaria de jeito nenhum em Bolsonaro;(22%)
 0,250; 0,250;Votará em Bolsonaro provavelmente ou com certeza;(38%)
-2,000; 2,000;Votará em Bolsonaro provavelmente ou com certeza;(38%)
 2,000; 1,000;Votará em Bolsonaro provavelmente ou com certeza;(38%)
 1,125; 2,375;Votará em Bolsonaro provavelmente ou com certeza;(38%)
 2,750; 1,750;Votará em Bolsonaro provavelmente ou com certeza;(38%)
 2,000; 2,000;Votará em Bolsonaro provavelmente ou com certeza;(38%)
 2,500; 1,250;Votará em Bolsonaro provavelmente ou com certeza;(38%)
 0,875; 1,375;Só votaria em Bolsonaro se o opositor fosse de esquerda ou do PT;(40%)
 0,250; 0,250;Só votaria em Bolsonaro se o opositor fosse de esquerda ou do PT;(40%)
 2,500; 1,750;Votará em Bolsonaro provavelmente ou com certeza;(38%)
 1,375; 0,625;Votará em Bolsonaro provavelmente ou com certeza;(38%)
 2,125; 2,125;Votará em Bolsonaro provavelmente ou com certeza;(38%)
 2,750; 1,250;Votará em Bolsonaro provavelmente ou com certeza;(38%)
 0,250; 0,000;Votará em Bolsonaro provavelmente ou com certeza;(38%)
 2,250; 2,250;Só votaria em Bolsonaro se o opositor fosse de esquerda ou do PT;(40%)
 0,750; 1,000;Só votaria em Bolsonaro se o opositor fosse de esquerda ou do PT;(40%)
 1,375; 0,875;Votará em Bolsonaro provavelmente ou com certeza;(38%)
 1,625; 1,125;Votará em Bolsonaro provavelmente ou com certeza;(38%)
 2,625; 2,125;Votará em Bolsonaro provavelmente ou com certeza;(38%)
 2,500; 1,250;Votará em Bolsonaro provavelmente ou com certeza;(38%)
 1,500; 2,250;Só votaria em Bolsonaro se o opositor fosse de esquerda ou do PT;(40%)
 1,500; 2,750;Só votaria em Bolsonaro se o opositor fosse de esquerda ou do PT;(40%)
-1,625;-1,625;Votará em Bolsonaro provavelmente ou com certeza;(38%)
 1,500; 1,750;Só votaria em Bolsonaro se o opositor fosse de esquerda ou do PT;(40%)
 0,875; 2,875;Só votaria em Bolsonaro se o opositor fosse de esquerda ou do PT;(40%)
 1,625; 0,375;Votará em Bolsonaro provavelmente ou com certeza;(38%)
 1,250; 1,750;Votará em Bolsonaro provavelmente ou com certeza;(38%)
 2,875; 2,125;Votará em Bolsonaro provavelmente ou com certeza;(38%)
 0,000; 0,000;Votará em Bolsonaro provavelmente ou com certeza;(38%)
 0,500; 0,000;Votará em Bolsonaro provavelmente ou com certeza;(38%)
 0,125;-0,125;Votará em Bolsonaro provavelmente ou com certeza;(38%)
 2,250; 2,250;Votará em Bolsonaro provavelmente ou com certeza;(38%)
-0,125;-0,125;Só votaria em Bolsonaro se o opositor fosse de esquerda ou do PT;(40%)
 1,875; 1,375;Só votaria em Bolsonaro se o opositor fosse de esquerda ou do PT;(40%)
 0,375; 0,375;Votará em Bolsonaro provavelmente ou com certeza;(38%)
 1,250; 1,500;Votará em Bolsonaro provavelmente ou com certeza;(38%)
